from	to
Champsocephalus gunnari	Aptenodytes forsteri
Champsocephalus gunnari	Leptonychotes weddelli
Champsocephalus gunnari	Gonatus antarcticus
Champsocephalus gunnari	Martialia hyadesi
Champsocephalus gunnari	Moroteuthis ingens
Champsocephalus gunnari	Pareledone antarctica
Champsocephalus gunnari	Pareledone charcoti
Champsocephalus gunnari	Ommatophoca rossii
Champsocephalus gunnari	Hydrurga leptonyx
Champsocephalus gunnari	Arctocephalus gazella
Champsocephalus gunnari	Trematomus pennellii
Champsocephalus gunnari	Trematomus hansoni
Champsocephalus gunnari	Trematomus loennbergii
Champsocephalus gunnari	Mirounga leonina
Champsocephalus gunnari	Psychroteuthis glacialis
Champsocephalus gunnari	Dacodraco hunteri
Champsocephalus gunnari	Notothenia coriiceps
Fissidentalium majorinum	Pogonophryne barsukovi
Fissidentalium majorinum	Pogonophryne scotti
Fissidentalium majorinum	Dolloidraco longedorsalis
Fissidentalium majorinum	Pogonophryne permitini
Fissidentalium majorinum	Nacella concinna
Cadulus dalli antarcticum	Pogonophryne barsukovi
Cadulus dalli antarcticum	Pogonophryne scotti
Cadulus dalli antarcticum	Dolloidraco longedorsalis
Cadulus dalli antarcticum	Pogonophryne permitini
Cadulus dalli antarcticum	Nacella concinna
Callochiton gaussi	Harpagifer antarcticus
Nuttallochiton mirandus	Harpagifer antarcticus
Isosicyonis alba	Parborlasia corrugatus
Isosicyonis alba	Lineus longifissus
Isosicyonis alba	Baseodiscus antarcticus
Isosicyonis alba	Artedidraco loennbergi
Isosicyonis alba	Dolloidraco longedorsalis
Isosicyonis alba	Trematomus pennellii
Pyura tunicata	Psilaster charcoti
Pyura tunicata	Harpovoluta charcoti
Pyura tunicata	Tritoniella belli
Pyura tunicata	Muraenolepis microps
Pyura setosa	Psilaster charcoti
Pyura setosa	Harpovoluta charcoti
Pyura setosa	Tritoniella belli
Pyura setosa	Muraenolepis microps
Pyura discoveryi	Psilaster charcoti
Pyura discoveryi	Harpovoluta charcoti
Pyura discoveryi	Tritoniella belli
Pyura discoveryi	Muraenolepis microps
Pyura bouvetensis	Psilaster charcoti
Pyura bouvetensis	Harpovoluta charcoti
Pyura bouvetensis	Tritoniella belli
Pyura bouvetensis	Muraenolepis microps
Sycozoa sigillinoides	Psilaster charcoti
Sycozoa sigillinoides	Harpovoluta charcoti
Sycozoa sigillinoides	Tritoniella belli
Sycozoa sigillinoides	Muraenolepis microps
Cnemidocarpa verrucosa	Psilaster charcoti
Cnemidocarpa verrucosa	Marseniopsis conica
Cnemidocarpa verrucosa	Harpovoluta charcoti
Cnemidocarpa verrucosa	Marseniopsis mollis
Cnemidocarpa verrucosa	Tritoniella belli
Cnemidocarpa verrucosa	Muraenolepis microps
Synoicum adareanum	Psilaster charcoti
Synoicum adareanum	Harpovoluta charcoti
Synoicum adareanum	Tritoniella belli
Synoicum adareanum	Muraenolepis microps
Aplidium vastum	Psilaster charcoti
Aplidium vastum	Harpovoluta charcoti
Aplidium vastum	Tritoniella belli
Aplidium vastum	Muraenolepis microps
Corella eumyota	Psilaster charcoti
Corella eumyota	Harpovoluta charcoti
Corella eumyota	Tritoniella belli
Corella eumyota	Muraenolepis microps
Ascidia challengeri	Psilaster charcoti
Ascidia challengeri	Harpovoluta charcoti
Ascidia challengeri	Tritoniella belli
Ascidia challengeri	Muraenolepis microps
Molgula pedunculata	Psilaster charcoti
Molgula pedunculata	Harpovoluta charcoti
Molgula pedunculata	Tritoniella belli
Molgula pedunculata	Muraenolepis microps
Anthometra adriani	Ophioperla ludwigi
Anthometra adriani	Trematomus scotti
Anthometra adriani	Pogonophryne phyllopogon
Anthometra adriani	Labidiaster annulatus
Anthometra adriani	Eunoe spica spicoides
Promachocrinus kerguelensis	Ophioperla ludwigi
Promachocrinus kerguelensis	Ophiosparte gigas
Promachocrinus kerguelensis	Trematomus scotti
Promachocrinus kerguelensis	Pogonophryne phyllopogon
Promachocrinus kerguelensis	Labidiaster annulatus
Promachocrinus kerguelensis	Eunoe spica spicoides
Propeleda longicaudata	Parborlasia corrugatus
Propeleda longicaudata	Lineus longifissus
Propeleda longicaudata	Baseodiscus antarcticus
Propeleda longicaudata	Notasterias stylophora
Propeleda longicaudata	Solaster dawsoni
Propeleda longicaudata	Bathybiaster loripes
Propeleda longicaudata	Harpovoluta charcoti
Propeleda longicaudata	Lysasterias perrieri
Propeleda longicaudata	Pteraster affinis aculeatus
Propeleda longicaudata	Notasterias armata
Propeleda longicaudata	Lophaster gaini
Propeleda longicaudata	Eunoe spica
Propeleda longicaudata	Dolloidraco longedorsalis
Propeleda longicaudata	Macroptychaster accrescens
Propeleda longicaudata	Trophon longstaffi
Propeleda longicaudata	Barrukia cristata
Propeleda longicaudata	Trematomus pennellii
Propeleda longicaudata	Odontaster validus
Propeleda longicaudata	Ophionotus victoriae
Propeleda longicaudata	Neobuccinum eatoni
Propeleda longicaudata	Notothenia coriiceps
Propeleda longicaudata	Labidiaster annulatus
Propeleda longicaudata	Eunoe spica spicoides
Propeleda longicaudata	Harpagifer antarcticus
Lissarca notorcadensis	Parborlasia corrugatus
Lissarca notorcadensis	Lineus longifissus
Lissarca notorcadensis	Baseodiscus antarcticus
Lissarca notorcadensis	Ctenocidaris spinosa
Lissarca notorcadensis	Ctenocidaris gigantea
Lissarca notorcadensis	Notasterias stylophora
Lissarca notorcadensis	Solaster dawsoni
Lissarca notorcadensis	Bathybiaster loripes
Lissarca notorcadensis	Amauropsis rossiana
Lissarca notorcadensis	Harpovoluta charcoti
Lissarca notorcadensis	Astrotoma agassizii
Lissarca notorcadensis	Ophiurolepis gelida
Lissarca notorcadensis	Ophiurolepis brevirima
Lissarca notorcadensis	Lysasterias perrieri
Lissarca notorcadensis	Pteraster affinis aculeatus
Lissarca notorcadensis	Notasterias armata
Lissarca notorcadensis	Lophaster gaini
Lissarca notorcadensis	Eunoe spica
Lissarca notorcadensis	Dolloidraco longedorsalis
Lissarca notorcadensis	Macroptychaster accrescens
Lissarca notorcadensis	Trophon longstaffi
Lissarca notorcadensis	Ophiosparte gigas
Lissarca notorcadensis	Barrukia cristata
Lissarca notorcadensis	Trematomus pennellii
Lissarca notorcadensis	Odontaster validus
Lissarca notorcadensis	Ophionotus victoriae
Lissarca notorcadensis	Neobuccinum eatoni
Lissarca notorcadensis	Notothenia coriiceps
Lissarca notorcadensis	Labidiaster annulatus
Lissarca notorcadensis	Eunoe spica spicoides
Lissarca notorcadensis	Harpagifer antarcticus
Limopsis marionensis	Parborlasia corrugatus
Limopsis marionensis	Lineus longifissus
Limopsis marionensis	Baseodiscus antarcticus
Limopsis marionensis	Notasterias stylophora
Limopsis marionensis	Solaster dawsoni
