Network	Predator_name	Prey_name
Local	Laternula elliptica	Zooplankton
Local	Neobuccinum eatoni	Laternula elliptica
Local	Neobuccinum eatoni	Necromass
Local	Euphausia superba	Phytoplankton
Local	Euphausia superba	Zooplankton
Local	Paradexamine sp.	Fresh detritus
Local	Paradexamine sp.	Necromass
Local	Eurymera monticulosa	Palmaria decipiens
Local	Eurymera monticulosa	Epiphytic diatoms
Local	Eurymera monticulosa	Benthic diatoms
Local	Eurymera monticulosa	Fresh detritus
Local	Pontogeneiella sp.	Palmaria decipiens
Local	Pontogeneiella sp.	Epiphytic diatoms
Local	Pontogeneiella sp.	Benthic diatoms
Local	Gondogeneia antarctica	Gigartina skottsbergii
Local	Gondogeneia antarctica	Iridaea cordata
Local	Gondogeneia antarctica	Myriogramme manginii
Local	Gondogeneia antarctica	Palmaria decipiens
Local	Gondogeneia antarctica	Plocamium cartilagineum
Local	Gondogeneia antarctica	Adenocystis utricularis
Local	Gondogeneia antarctica	Desmarestia anceps
Local	Gondogeneia antarctica	Desmarestia antarctica
Local	Gondogeneia antarctica	Desmarestia menziesii
Local	Gondogeneia antarctica	Geminocarpus geminatus
Local	Gondogeneia antarctica	Phaeurus antarcticus 
Local	Gondogeneia antarctica	Monostroma hariotii
Local	Gondogeneia antarctica	Epiphytic diatoms
Local	Gondogeneia antarctica	Benthic diatoms
Local	Hyperiidea	Euphausia superba
Local	Hyperiidea	Copepoda
Local	Hyperiidea	Zooplankton
Local	Pariphimedia integricauda	Necromass
Local	Bovallia gigantea	Paradexamine sp.
Local	Bovallia gigantea	Eurymera monticulosa
Local	Bovallia gigantea	Pontogeneiella sp.
Local	Bovallia gigantea	Gitanopsis antarctica
Local	Bovallia gigantea	Prostebbingia gracilis
Local	Bovallia gigantea	Waldeckia obesa
Local	Bovallia gigantea	Gondogeneia antarctica
Local	Cheirimedon femoratus	Fresh detritus
Local	Gitanopsis antarctica	Fresh detritus
Local	Gitanopsis antarctica	Necromass
Local	Prostebbingia gracilis	Gigartina skottsbergii
Local	Prostebbingia gracilis	Iridaea cordata
Local	Prostebbingia gracilis	Myriogramme manginii
Local	Prostebbingia gracilis	Palmaria decipiens
Local	Prostebbingia gracilis	Plocamium cartilagineum
Local	Prostebbingia gracilis	Desmarestia anceps
Local	Prostebbingia gracilis	Desmarestia antarctica
Local	Prostebbingia gracilis	Desmarestia menziesii
Local	Prostebbingia gracilis	Epiphytic diatoms
Local	Prostebbingia gracilis	Benthic diatoms
Local	Waldeckia obesa	Necromass
Local	Hippo-Orcho	Necromass
Local	Oradarea bidentata	Palmaria decipiens
Local	Serolis sp.	Necromass
Local	Glyptonotus antarcticus	Nereidae 
Local	Glyptonotus antarcticus	Bovallia gigantea
Local	Glyptonotus antarcticus	Ascidiacea
Local	Glyptonotus antarcticus	Necromass
Local	Plakarthrium puncattissimum	Curdiea racovitzae
Local	Plakarthrium puncattissimum	Ascoseira mirabilis 
Local	Plakarthrium puncattissimum	Epiphytic diatoms
Local	Plakarthrium puncattissimum	Benthic diatoms
Local	Plakarthrium puncattissimum	Fresh detritus
Local	Hemiarthrum setulosum	Epiphytic diatoms
Local	Hemiarthrum setulosum	Benthic diatoms
Local	Ophionotus victoriae	Benthic diatoms
Local	Ophionotus victoriae	Fresh detritus
Local	Ophionotus victoriae	Nereidae 
Local	Ophionotus victoriae	Laternula elliptica
Local	Ophionotus victoriae	Neobuccinum eatoni
Local	Ophionotus victoriae	Euphausia superba
Local	Ophionotus victoriae	Paradexamine sp.
Local	Ophionotus victoriae	Eurymera monticulosa
Local	Ophionotus victoriae	Pontogeneiella sp.
Local	Ophionotus victoriae	Gondogeneia antarctica
Local	Ophionotus victoriae	Pariphimedia integricauda
Local	Ophionotus victoriae	Cheirimedon femoratus
Local	Ophionotus victoriae	Gitanopsis antarctica
Local	Ophionotus victoriae	Prostebbingia gracilis
Local	Ophionotus victoriae	Waldeckia obesa
Local	Ophionotus victoriae	Hippo-Orcho
Local	Ophionotus victoriae	Oradarea bidentata
Local	Ophionotus victoriae	Squids
Local	Ophionotus victoriae	Copepoda
Local	Ophionotus victoriae	Ascidiacea
Local	Ophionotus victoriae	Hydrozoa
Local	Ophionotus victoriae	Bryozoa
Local	Ophionotus victoriae	Necromass
Local	Ophionotus victoriae	Haliclonidae
Local	Ophionotus victoriae	Stylo-Myca
Local	Ophionotus victoriae	Rosella sp.
Local	Odontaster  validus	Benthic diatoms
Local	Odontaster  validus	Nereidae 
Local	Odontaster  validus	Doris kerguelenensis
Local	Odontaster  validus	Neobuccinum eatoni
Local	Odontaster  validus	Fresh detritus
Local	Odontaster  validus	Haliclonidae
Local	Odontaster  validus	Stylo-Myca
Local	Odontaster  validus	Laternula elliptica
Local	Odontaster  validus	Rosella sp.
Local	Diplasterias brucei	Neobuccinum eatoni
Local	Odontaster meridionalis	Neobuccinum eatoni
Local	Odontaster meridionalis	Haliclonidae
Local	Odontaster meridionalis	Stylo-Myca
Local	Odontaster meridionalis	Rosella sp.
Local	Perknaster fuscus antarticus	Neobuccinum eatoni
Local	Perknaster fuscus antarticus	Stylo-Myca
Local	Perknaster aurorae	Stylo-Myca
Local	Sterechinus neumayeri	Paradexamine sp.
Local	Sterechinus neumayeri	Eurymera monticulosa
Local	Sterechinus neumayeri	Pontogeneiella sp.
Local	Sterechinus neumayeri	Gondogeneia antarctica
Local	Sterechinus neumayeri	Bovallia gigantea
Local	Sterechinus neumayeri	Prostebbingia gracilis
Local	Sterechinus neumayeri	Waldeckia obesa
Local	Sterechinus neumayeri	Oradarea bidentata
Local	Sterechinus neumayeri	Hydrozoa
Local	Sterechinus neumayeri	Bryozoa
Local	Sterechinus neumayeri	Haliclonidae
Local	Sterechinus neumayeri	Stylo-Myca
Local	Sterechinus neumayeri	Rosella sp.
Local	Squids	Euphausia superba
Local	Copepoda	Phytoplankton
Local	Copepoda	Zooplankton
Local	Ascidiacea	Phytoplankton
Local	Ascidiacea	Zooplankton
Local	Octopoda	Glyptonotus antarcticus
Local	Oligochaeta	Phytoplankton
Local	Oligochaeta	Zooplankton
Local	Hydrozoa	Phytoplankton
Local	Hydrozoa	Zooplankton
Local	Bryozoa	Phytoplankton
Local	Bryozoa	Zooplankton
Local	Priapulida	Benthic diatoms
Local	Priapulida	Nereidae 
Local	Parborlasia corrugatus	Nacella concinna
Local	Parborlasia corrugatus	Bovallia gigantea
Local	Parborlasia corrugatus	Serolis sp.
Local	Parborlasia corrugatus	Glyptonotus antarcticus
Local	Parborlasia corrugatus	Necromass
Local	Parborlasia corrugatus	Haliclonidae
Local	Parborlasia corrugatus	Stylo-Myca
Local	Parborlasia corrugatus	Rosella sp.
Local	Salpa sp.	Phytoplankton
Local	Salpa sp.	Aged detritus
Local	Salpa sp.	Nereidae 
Local	Salpa sp.	Oligochaeta
Local	Salpa sp.	Zooplankton
Local	Mysida	Phytoplankton
Local	Mysida	Zooplankton
Local	Zooplankton	Phytoplankton
Local	Haliclonidae	Benthic diatoms
Local	Haliclonidae	Phytoplankton
Local	Haliclonidae	Fresh detritus
Local	Haliclonidae	Zooplankton
Local	Stylo-Myca	Benthic diatoms
Local	Stylo-Myca	Phytoplankton
Local	Stylo-Myca	Fresh detritus
Local	Stylo-Myca	Zooplankton
Local	Rosella sp.	Benthic diatoms
Local	Rosella sp.	Phytoplankton
Local	Rosella sp.	Fresh detritus
Local	Rosella sp.	Zooplankton
Local	Dendrilla antarctica	Benthic diatoms
Local	Dendrilla antarctica	Phytoplankton
Local	Dendrilla antarctica	Fresh detritus
Local	Dendrilla antarctica	Zooplankton
Local	Urticinopsis antarctica	Odontaster  validus
Local	Urticinopsis antarctica	Odontaster meridionalis
Local	Urticinopsis antarctica	Perknaster fuscus antarticus
Local	Urticinopsis antarctica	Sterechinus neumayeri
Local	Malacobelemnon daytoni	Phytoplankton
Local	Malacobelemnon daytoni	Zooplankton
Regional	Cassidulinoides parkerianus	Bacillariophyta
Regional	Cassidulinoides parkerianus	Detritus
Regional	Cassidulinoides parkerianus	Sediment
Regional	Cibicides refulgens	Bacillariophyta
Regional	Cibicides refulgens	Detritus
Regional	Cibicides refulgens	Sediment
Regional	Globocassidulina crassa	Bacillariophyta
Regional	Globocassidulina crassa	Detritus
Regional	Globocassidulina crassa	Sediment
Regional	Lenticulina antarctica	Bacillariophyta
Regional	Lenticulina antarctica	Detritus
Regional	Lenticulina antarctica	Sediment
Regional	Neogloboquadriana pachyderma	Bacillariophyta
Regional	Neogloboquadriana pachyderma	Detritus
Regional	Neogloboquadriana pachyderma	Sediment
Regional	Euphausia crystallorophias	Phytoplankton
Regional	Euphausia frigida	Bacillariophyta
Regional	Euphausia frigida	Zooplankton
Regional	Euphausia frigida	Tintinnidae
Regional	Euphausia frigida	Foraminifera
Regional	Euphausia frigida	Phytoplankton
Regional	Euphausia frigida	Copepoda
Regional	Euphausia frigida	Pteropoda
Regional	Thysanoessa macrura	Bacillariophyta
Regional	Thysanoessa macrura	Zooplankton
Regional	Thysanoessa macrura	Siphonophora
Regional	Thysanoessa macrura	Tintinnidae
Regional	Thysanoessa macrura	Foraminifera
Regional	Thysanoessa macrura	Phytoplankton
Regional	Thysanoessa macrura	Copepoda
Regional	Thysanoessa macrura	Pteropoda
Regional	Euphausia superba	Bacillariophyta
Regional	Euphausia superba	Fragilariopsis
Regional	Euphausia superba	Entomoneis sp.
Regional	Euphausia superba	Nitzschia sp.
Regional	Euphausia superba	Chaetoceros sp.
Regional	Euphausia superba	Zooplankton
Regional	Euphausia superba	Distephanus sp.
Regional	Euphausia superba	Copepoda
Regional	Euphausia superba	Oithona sp.
Regional	Ampelisca richardsoni	Detritus
Regional	Ampelisca richardsoni	Bacillariophyta
Regional	Abyssorchomene rossi	Detritus
Regional	Abyssorchomene rossi	Bacillariophyta
Regional	Abyssorchomene rossi	Polychaeta
Regional	Abyssorchomene rossi	Copepoda
Regional	Abyssorchomene rossi	Porifera
Regional	Abyssorchomene plebs 	Crustacea
Regional	Abyssorchomene plebs 	Euphausia superba
Regional	Abyssorchomene plebs 	Detritus
Regional	Abyssorchomene plebs 	Bacillariophyta
Regional	Abyssorchomene nodimanus	Polychaeta
Regional	Abyssorchomene nodimanus	Holothuria
Regional	Abyssorchomene nodimanus	Fish
Regional	Abyssorchomene nodimanus	Octopoda
Regional	Abyssorchomene nodimanus	Detritus
Regional	Eusirus antarcticus	Copepoda
Regional	Eusirus perdentatus	Crustacea
Regional	Eusirus perdentatus	Amphipoda
Regional	Eusirus perdentatus	Polychaeta
Regional	Eusirus perdentatus	Detritus
Regional	Alexandrella mixta	Ophiuroidea
Regional	Tryphosella murrayi	Mysidacea
Regional	Tryphosella murrayi	Dolloidraco longedorsalis
Regional	Tryphosella murrayi	Fish
Regional	Tryphosella murrayi	Crustacea
Regional	Tryphosella murrayi	Amphipoda
Regional	Waldeckia obesa 	Amphipoda
Regional	Waldeckia obesa 	Eurythenes gryllus
Regional	Waldeckia obesa 	Ophiuroidea
Regional	Waldeckia obesa 	Hydrozoa
Regional	Waldeckia obesa 	Cnidaria
Regional	Waldeckia obesa 	Porifera
Regional	Waldeckia obesa 	Polychaeta
Regional	Waldeckia obesa 	Holothuria
Regional	Waldeckia obesa 	Isopoda
Regional	Waldeckia obesa 	Crustacea
Regional	Waldeckia obesa 	Detritus
Regional	Waldeckia obesa 	Necromass
Regional	Parschisturella ceruviata 	Detritus
Regional	Paramoera walkeri	Ophiuroidea
Regional	Epimeriella walkeri	Holothuria
Regional	Epimeriella walkeri	Crustacea
Regional	Epimeriella walkeri	Porifera
Regional	Epimeriella walkeri	Cnidaria
Regional	Epimeriella walkeri	Bacillariophyta
Regional	Epimeriella walkeri	Detritus
