Network	Predator_name	Prey_name
Regional	Eukrohnia hamata	Metridia gerlachei
Regional	Sagitta gazellae	Euchaeta antarctica
Regional	Sagitta gazellae	Metridia gerlachei
Regional	Sagitta marri	Copepoda
Regional	Sagitta marri	Oithona sp.
Regional	Sagitta marri	Oncaea sp.
Regional	Sagitta marri	Metridia gerlachei
Regional	Sagitta marri	Ostracoda
Regional	Sagitta marri	Pelagobia longicirrata
Regional	Cephalodiscus sp.	Detritus
Regional	Molgula pedunculata	Bacillariophyta
Regional	Molgula pedunculata	Detritus
Regional	Molgula pedunculata	Nanoplankton
Regional	Molgula pedunculata	Bacteria
Regional	Ascidia challengeri	Bacillariophyta
Regional	Ascidia challengeri	Detritus
Regional	Ascidia challengeri	Nanoplankton
Regional	Ascidia challengeri	Bacteria
Regional	Corella eumyota	Bacillariophyta
Regional	Corella eumyota	Detritus
Regional	Corella eumyota	Nanoplankton
Regional	Corella eumyota	Bacteria
Regional	Aplidium vastum 	Bacillariophyta
Regional	Aplidium vastum 	Detritus
Regional	Aplidium vastum 	Nanoplankton
Regional	Aplidium vastum 	Bacteria
Regional	Synoicum adareanum	Bacillariophyta
Regional	Synoicum adareanum	Detritus
Regional	Synoicum adareanum	Nanoplankton
Regional	Synoicum adareanum	Bacteria
Regional	Cnemidocarpa verrucosa	Bacillariophyta
Regional	Cnemidocarpa verrucosa	Detritus
Regional	Cnemidocarpa verrucosa	Nanoplankton
Regional	Cnemidocarpa verrucosa	Bacteria
Regional	Salpa thompsoni	Bacillariophyta
Regional	Salpa thompsoni	SilicioZooplanktons
Regional	Salpa thompsoni	Zooplankton
Regional	Salpa thompsoni	Tintinnidae
Regional	Salpa thompsoni	Foraminifera
Regional	Salpa thompsoni	Phytoplankton
Regional	Salpa thompsoni	Detritus
Regional	Salpa thompsoni	Copepoda
Regional	Salpa thompsoni	Oithona sp.
Regional	Salpa thompsoni	Oncaea sp.
Regional	Salpa thompsoni	Euchaeta antarctica
Regional	Salpa thompsoni	Calanus propinquus
Regional	Salpa thompsoni	Metridia gerlachei
Regional	Salpa thompsoni	Limacina helicina 
Regional	Salpa thompsoni	Pelagobia longicirrata
Regional	Salpa thompsoni	Eukrohnia hamata
Regional	Salpa gerlachei	Phytoplankton
Regional	Salpa gerlachei	Bacillariophyta
Regional	Ihlea racovitzai	Phytoplankton
Regional	Ihlea racovitzai	Bacillariophyta
Regional	Artedidraco orianae	Epimeria macrodonta
Regional	Artedidraco orianae	Epimeria robusta
Regional	Artedidraco orianae	Iphimediella cyclogena
Regional	Artedidraco orianae	Liljeborgia georgiana
Regional	Artedidraco orianae	Cyllopus lucasii
Regional	Artedidraco orianae	Copepoda
Regional	Artedidraco orianae	Gnathia calva
Regional	Artedidraco orianae	Isopoda
Regional	Artedidraco orianae	Natatolana obtusata
Regional	Artedidraco orianae	Euphausiacea
Regional	Artedidraco orianae	Ostracoda
Regional	Artedidraco orianae	Pantopoda
Regional	Artedidraco orianae	Polychaeta
Regional	Artedidraco orianae	Eunoe spica
Regional	Artedidraco loennbergi	Crustacea
Regional	Artedidraco loennbergi	Amphipoda
Regional	Artedidraco loennbergi	Isopoda
Regional	Artedidraco loennbergi	Tanaidacea
Regional	Artedidraco loennbergi	Cumacea
Regional	Artedidraco loennbergi	Copepoda
Regional	Artedidraco loennbergi	Polychaeta
Regional	Artedidraco loennbergi	Gastropoda
Regional	Artedidraco loennbergi	Actinaria
Regional	Artedidraco shackletoni	Crustacea
Regional	Artedidraco shackletoni	Isopoda
Regional	Artedidraco shackletoni	Polychaeta
Regional	Artedidraco skottsbergi	Crustacea
Regional	Artedidraco skottsbergi	Amphipoda
Regional	Artedidraco skottsbergi	Isopoda
Regional	Artedidraco skottsbergi	Cumacea
Regional	Artedidraco skottsbergi	Ostracoda
Regional	Artedidraco skottsbergi	Polychaeta
Regional	Artedidraco skottsbergi	Gastropoda
Regional	Artedidraco skottsbergi	Urticinopsis antarctica
Regional	Artedidraco skottsbergi	Anthozoa
Regional	Dolloidraco longedorsalis	Crustacea
Regional	Dolloidraco longedorsalis	Amphipoda
Regional	Dolloidraco longedorsalis	Isopoda
Regional	Dolloidraco longedorsalis	Tanaidacea
Regional	Dolloidraco longedorsalis	Mysidacea
Regional	Dolloidraco longedorsalis	Euphausiacea
Regional	Dolloidraco longedorsalis	Cumacea
Regional	Dolloidraco longedorsalis	Ostracoda
Regional	Dolloidraco longedorsalis	Copepoda
Regional	Dolloidraco longedorsalis	Polychaeta
Regional	Dolloidraco longedorsalis	Bivalvia
Regional	Dolloidraco longedorsalis	Gastropoda
Regional	Dolloidraco longedorsalis	Scaphopoda
Regional	Dolloidraco longedorsalis	Hydrozoa
Regional	Dolloidraco longedorsalis	Urticinopsis antarctica
Regional	Dolloidraco longedorsalis	Anthozoa
Regional	Dolloidraco longedorsalis	Actinaria
Regional	Pogonophryne marmorata	Epimeria macrodonta
Regional	Pogonophryne marmorata	Epimeria robusta
Regional	Pogonophryne marmorata	Iphimediella cyclogena
Regional	Pogonophryne marmorata	Liljeborgia georgiana
Regional	Pogonophryne marmorata	Cyllopus lucasii
Regional	Pogonophryne marmorata	Isopoda
Regional	Pogonophryne marmorata	Zooplankton
Regional	Pogonophryne marmorata	Euphausiacea
Regional	Pogonophryne marmorata	Polychaeta
Regional	Pogonophryne phyllopogon	Crustacea
Regional	Pogonophryne phyllopogon	Amphipoda
Regional	Pogonophryne phyllopogon	Isopoda
Regional	Pogonophryne phyllopogon	Mysidacea
Regional	Pogonophryne phyllopogon	Polychaeta
Regional	Pogonophryne phyllopogon	Crinoidea
Regional	Pogonophryne permitini	Crustacea
Regional	Pogonophryne permitini	Amphipoda
Regional	Pogonophryne permitini	Isopoda
Regional	Pogonophryne permitini	Mysidacea
Regional	Pogonophryne permitini	Polychaeta
Regional	Pogonophryne permitini	Hydrozoa
Regional	Pogonophryne permitini	Scaphopoda
Regional	Pogonophryne scotti	Fish
Regional	Pogonophryne barsukovi	Fish
Regional	Cygnodraco mawsoni	Crustacea
Regional	Cygnodraco mawsoni	Amphipoda
Regional	Cygnodraco mawsoni	Decapoda
Regional	Cygnodraco mawsoni	Mysidacea
Regional	Cygnodraco mawsoni	Euphausia crystallorophias
Regional	Cygnodraco mawsoni	Pteropoda
Regional	Cygnodraco mawsoni	Fish
Regional	Gerlachea australis	Crustacea
Regional	Gerlachea australis	Amphipoda
Regional	Gerlachea australis	Mysidacea
Regional	Gerlachea australis	Euphausiacea
Regional	Gerlachea australis	Euphausia crystallorophias
Regional	Gymnodraco acuticeps	Euphausiacea
Regional	Gymnodraco acuticeps	Amphipoda
Regional	Gymnodraco acuticeps	Polychaeta
Regional	Gymnodraco acuticeps	Zooplankton
Regional	Gymnodraco acuticeps	Fish
Regional	Prionodraco evansii	Copepoda
Regional	Prionodraco evansii	Euphausiacea
Regional	Prionodraco evansii	Eukrohnia hamata
Regional	Prionodraco evansii	Mysidacea
Regional	Prionodraco evansii	Cumacea
Regional	Prionodraco evansii	Isopoda
Regional	Prionodraco evansii	Amphipoda
Regional	Prionodraco evansii	Ostracoda
Regional	Prionodraco evansii	Polychaeta
Regional	Racovitzia glacialis	Amphipoda
Regional	Racovitzia glacialis	Isopoda
Regional	Racovitzia glacialis	Tanaidacea
Regional	Racovitzia glacialis	Mysidacea
Regional	Racovitzia glacialis	Polychaeta
Regional	Racovitzia glacialis	Fish
Regional	Chaenodraco wilsoni	Euphausiacea
Regional	Chaenodraco wilsoni	Mysidacea
Regional	Chionodraco hamatus	Euphausiacea
Regional	Chionodraco hamatus	Copepoda
Regional	Chionodraco hamatus	Fish
Regional	Chionodraco myersi	Euphausiacea
Regional	Chionodraco myersi	Fish
Regional	Cryodraco antarcticus	Euphausiacea
Regional	Cryodraco antarcticus	Pleuragramma antarcticum
Regional	Dacodraco hunteri	Nototheniidae
Regional	Pagetopsis maculatus	Crustacea
Regional	Pagetopsis maculatus	Euphausiacea
Regional	Pagetopsis maculatus	Euphausia crystallorophias
Regional	Pagetopsis maculatus	Euphausia superba
Regional	Pagetopsis maculatus	Fish
Regional	Aethotaxis mitopteryx	Crustacea
Regional	Aethotaxis mitopteryx	Amphipoda
Regional	Aethotaxis mitopteryx	Isopoda
Regional	Aethotaxis mitopteryx	Mysidacea
Regional	Aethotaxis mitopteryx	Cumacea
Regional	Aethotaxis mitopteryx	Copepoda
Regional	Aethotaxis mitopteryx	Polychaeta
Regional	Dissostichus mawsoni	Fish
Regional	Dissostichus mawsoni	Myctophidae
Regional	Dissostichus mawsoni	Bathylagus antarcticus
Regional	Dissostichus mawsoni	Nototheniidae
Regional	Dissostichus mawsoni	Dissostichus mawsoni
Regional	Dissostichus mawsoni	Harpagifer antarcticus
Regional	Dissostichus mawsoni	Macrourus whitsoni
Regional	Dissostichus mawsoni	Octopoda
Regional	Dissostichus mawsoni	Galiteuthis glacialis
Regional	Dissostichus mawsoni	Gonatus antarcticus
Regional	Dissostichus mawsoni	Kondakovia longimama
Regional	Dissostichus mawsoni	Moroteuthis ingens
Regional	Dissostichus mawsoni	Vampryoteuthis
Regional	Dissostichus mawsoni	Crustacea
Regional	Dissostichus mawsoni	Amphipoda
Regional	Trematomus eulepidotus	Zooplankton
Regional	Trematomus eulepidotus	Fish
Regional	Trematomus eulepidotus	Isopoda
Regional	Trematomus eulepidotus	Cyllopus lucasii
Regional	Trematomus eulepidotus	Amphipoda
Regional	Trematomus eulepidotus	Epimeria robusta
Regional	Trematomus eulepidotus	Mysidacea
Regional	Trematomus eulepidotus	Euphausia superba
Regional	Trematomus eulepidotus	Euphausia crystallorophias
Regional	Trematomus eulepidotus	Copepoda
Regional	Trematomus eulepidotus	Metridia gerlachei
Regional	Trematomus eulepidotus	Euchaeta antarctica
Regional	Trematomus eulepidotus	Oncaea curvata
Regional	Trematomus eulepidotus	Ostracoda
Regional	Trematomus eulepidotus	Crustacea
Regional	Trematomus eulepidotus	Polychaeta
Regional	Trematomus eulepidotus	Gastropoda
Regional	Trematomus lepidorhinus 	Isopoda
Regional	Trematomus lepidorhinus 	Amphipoda
Regional	Trematomus lepidorhinus 	Epimeria robusta
Regional	Trematomus lepidorhinus 	Mysidacea
Regional	Trematomus lepidorhinus 	Mysida
Regional	Trematomus lepidorhinus 	Decapoda
Regional	Trematomus lepidorhinus 	Euphausia crystallorophias
Regional	Trematomus lepidorhinus 	Euphausia superba
Regional	Trematomus lepidorhinus 	Copepoda
Regional	Trematomus lepidorhinus 	Metridia gerlachei
Regional	Trematomus lepidorhinus 	Ostracoda
Regional	Trematomus lepidorhinus 	Crustacea
Regional	Trematomus lepidorhinus 	Polychaeta
Regional	Trematomus lepidorhinus 	Eunoe spica
Regional	Trematomus lepidorhinus 	Laternula elliptica
Regional	Trematomus lepidorhinus 	Gastropoda
Regional	Trematomus loennbergii	Crustacea
Regional	Trematomus loennbergii	Amphipoda
Regional	Trematomus loennbergii	Isopoda
Regional	Trematomus loennbergii	Mysidacea
Regional	Trematomus loennbergii	Euphausia crystallorophias
Regional	Trematomus loennbergii	Euphausia superba
Regional	Trematomus loennbergii	Cumacea
Regional	Trematomus loennbergii	Copepoda
Regional	Trematomus loennbergii	Polychaeta
Regional	Trematomus loennbergii	Gastropoda
Regional	Trematomus loennbergii	Pteropoda
Regional	Trematomus loennbergii	Cyllopus lucasii
Regional	Trematomus loennbergii	Eukrohnia hamata
Regional	Trematomus loennbergii	Fish
Regional	Trematomus loennbergii	Bryozoa
Regional	Trematomus loennbergii	Salpa thompsoni
Regional	Trematomus nicolai	Isopoda
Regional	Trematomus nicolai	Tanaidacea
Regional	Trematomus nicolai	Amphipoda
Regional	Trematomus nicolai	Epimeria robusta
Regional	Trematomus nicolai	Mysidacea
Regional	Trematomus nicolai	Mysida
Regional	Trematomus nicolai	Euphausia superba
Regional	Trematomus nicolai	Euphausia crystallorophias
Regional	Trematomus nicolai	Copepoda
Regional	Trematomus nicolai	Calanoides acutus
Regional	Trematomus nicolai	Metridia gerlachei
Regional	Trematomus nicolai	Crustacea
Regional	Trematomus nicolai	Gastropoda
Regional	Trematomus pennellii	Fish
Regional	Trematomus pennellii	Isopoda
Regional	Trematomus pennellii	Gnathia calva
Regional	Trematomus pennellii	Ceratoserolis meridionalis
Regional	Trematomus pennellii	Natatolana obtusata
Regional	Trematomus pennellii	Aega antarctica
Regional	Trematomus pennellii	Glyptonotus antarcticus
Regional	Trematomus pennellii	Tanaidacea
Regional	Trematomus pennellii	Amphipoda
Regional	Trematomus pennellii	Epimeria robusta
Regional	Trematomus pennellii	Cyllopus lucasii
Regional	Trematomus pennellii	Decapoda
Regional	Trematomus pennellii	Euphausia crystallorophias
Regional	Trematomus pennellii	Euphausia superba
Regional	Trematomus pennellii	Copepoda
Regional	Trematomus pennellii	Ostracoda
Regional	Trematomus pennellii	Crustacea
Regional	Trematomus pennellii	Pentanymphon antarcticum
Regional	Trematomus pennellii	Polychaeta
Regional	Trematomus pennellii	Bivalvia
Regional	Trematomus pennellii	Gastropoda
Regional	Trematomus pennellii	Urticinopsis antarctica
Regional	Trematomus pennellii	Anthozoa
Regional	Trematomus pennellii	Hydrozoa
Regional	Trematomus scotti	Zooplankton
Regional	Trematomus scotti	Crinoidea
Regional	Trematomus scotti	Isopoda
Regional	Trematomus scotti	Gnathia calva
Regional	Trematomus scotti	Natatolana obtusata
Regional	Trematomus scotti	Tanaidacea
Regional	Trematomus scotti	Cumacea
Regional	Trematomus scotti	Amphipoda
Regional	Trematomus scotti	Epimeria robusta
Regional	Trematomus scotti	Cyllopus lucasii
Regional	Trematomus scotti	Mysidacea
Regional	Trematomus scotti	Euphausia crystallorophias
Regional	Trematomus scotti	Euphausia superba
Regional	Trematomus scotti	Copepoda
Regional	Trematomus scotti	Metridia gerlachei
Regional	Trematomus scotti	Calanoides acutus
Regional	Trematomus scotti	Calanus propinquus
Regional	Trematomus scotti	Euchaeta antarctica
Regional	Trematomus scotti	Ostracoda
Regional	Trematomus scotti	Pantopoda
Regional	Trematomus scotti	Polychaeta
Regional	Trematomus scotti	Eunoe hartmanae
Regional	Trematomus scotti	Eunoe spica
Regional	Trematomus scotti	Gastropoda
Regional	Trematomus scotti	Hydrozoa
Regional	Pleuragramma antarcticum	Cyllopus lucasii
Regional	Pleuragramma antarcticum	Copepoda
Regional	Pleuragramma antarcticum	Euphausiacea
Regional	Pleuragramma antarcticum	Salpa thompsoni
Regional	Pleuragramma antarcticum	Myctophidae
Regional	Notothenia marmorata	Ctenophora
Regional	Notothenia marmorata	Hydrozoa
Regional	Notothenia marmorata	Euphausia superba
Regional	Notothenia marmorata	Crustacea
Regional	Notothenia marmorata	Amphipoda
Regional	Notothenia marmorata	Salpa thompsoni
Regional	Notothenia marmorata	Fish
Regional	Notothenia coriiceps	Porifera
Regional	Notothenia coriiceps	Polychaeta
Regional	Notothenia coriiceps	Gastropoda
Regional	Notothenia coriiceps	Zooplankton
Regional	Notothenia coriiceps	Bivalvia
Regional	Notothenia coriiceps	Octopoda
Regional	Notothenia coriiceps	Epimeria robusta
Regional	Notothenia coriiceps	Cyllopus lucasii
Regional	Notothenia coriiceps	Isopoda
Regional	Notothenia coriiceps	Copepoda
Regional	Notothenia coriiceps	Euphausiacea
Regional	Notothenia coriiceps	Salpa thompsoni
Regional	Notothenia coriiceps	Fish
Regional	Trematomus bernacchii	Crustacea
Regional	Trematomus bernacchii	Amphipoda
Regional	Trematomus bernacchii	Isopoda
Regional	Trematomus bernacchii	Copepoda
Regional	Trematomus bernacchii	Cyllopus lucasii
Regional	Trematomus bernacchii	Gastropoda
Regional	Trematomus bernacchii	Echiurida
Regional	Trematomus bernacchii	Sipunculida
Regional	Trematomus bernacchii	Zooplankton
Regional	Trematomus bernacchii	Fish
Regional	Trematomus bernacchii	Bryozoa
Regional	Trematomus bernacchii	Hydrozoa
Regional	Trematomus bernacchii	Polychaeta
Regional	Trematomus bernacchii	Ostracoda
Regional	Trematomus bernacchii	Metridia gerlachei
Regional	Trematomus bernacchii	Epimeria robusta
Regional	Trematomus bernacchii	Tanaidacea
Regional	Trematomus bernacchii	Yoldiella eightsi
Regional	Trematomus hansoni	Zooplankton
Regional	Trematomus hansoni	Fish
Regional	Trematomus hansoni	Trematomus pennellii
Regional	Trematomus hansoni	Trematomus eulepidotus
Regional	Trematomus hansoni	Isopoda
Regional	Trematomus hansoni	Ceratoserolis meridionalis
Regional	Trematomus hansoni	Cyllopus lucasii
Regional	Trematomus hansoni	Amphipoda
Regional	Trematomus hansoni	Decapoda
Regional	Trematomus hansoni	Euphausia superba
Regional	Trematomus hansoni	Euphausia crystallorophias
Regional	Trematomus hansoni	Copepoda
Regional	Trematomus hansoni	Metridia gerlachei
Regional	Trematomus hansoni	Pantopoda
Regional	Trematomus hansoni	Pentanymphon antarcticum
Regional	Trematomus hansoni	Polychaeta
Regional	Trematomus hansoni	Gastropoda
Regional	Trematomus hansoni	Neobuccinum eatoni
Regional	Macrourus holotrachis	Octopoda
Regional	Macrourus holotrachis	Squid
Regional	Macrourus holotrachis	Fish
Regional	Macrourus holotrachis	Crustacea
Regional	Macrourus holotrachis	Amphipoda
Regional	Macrourus whitsoni	Octopoda
Regional	Macrourus whitsoni	Squid
Regional	Macrourus whitsoni	Fish
Regional	Macrourus whitsoni	Crustacea
Regional	Macrourus whitsoni	Polychaeta
Regional	Macrourus whitsoni	Amphipoda
Regional	Electrona antarctica	Amphipoda
Regional	Electrona antarctica	Eukrohnia hamata
Regional	Electrona antarctica	Copepoda
Regional	Electrona antarctica	Calanus propinquus
Regional	Electrona antarctica	Oncaea sp.
Regional	Electrona antarctica	Metridia gerlachei
Regional	Electrona antarctica	Euchaeta antarctica
Regional	Electrona antarctica	Rhincalanus gigas
Regional	Electrona antarctica	Euphausiacea
Regional	Electrona antarctica	Euphausia frigida
Regional	Electrona antarctica	Euphausia superba
Regional	Electrona antarctica	Pelagobia longicirrata
Regional	Electrona antarctica	Thysanoessa macrura
Regional	Electrona antarctica	Gastropoda
Regional	Electrona antarctica	Ostracoda
Regional	Electrona antarctica	Polychaeta
Regional	Harpagifer antarcticus	Crustacea
Regional	Harpagifer antarcticus	Epimeria robusta
Regional	Harpagifer antarcticus	Oradarea edentata
Regional	Harpagifer antarcticus	Djerboa furcipes
Regional	Harpagifer antarcticus	Notocrangon antarcticus
Regional	Harpagifer antarcticus	Natatolana meridionalis
Regional	Harpagifer antarcticus	Isopoda
Regional	Harpagifer antarcticus	Euphausia superba
Regional	Harpagifer antarcticus	Gastropoda
Regional	Harpagifer antarcticus	Bivalvia
Regional	Harpagifer antarcticus	Chiton
Regional	Harpagifer antarcticus	Polychaeta
Regional	Harpagifer antarcticus	Detritus
Regional	Harpagifer antarcticus	Sediment
Regional	Harpagifer antarcticus	Amphipoda
Regional	Bathylagus antarcticus	Foraminifera
Regional	Bathylagus antarcticus	Copepoda
Regional	Bathylagus antarcticus	Oithona sp.
Regional	Bathylagus antarcticus	Oncaea sp.
Regional	Bathylagus antarcticus	Euchaeta antarctica
Regional	Bathylagus antarcticus	Metridia gerlachei
Regional	Bathylagus antarcticus	Zooplankton
Regional	Bathylagus antarcticus	Euphausia superba
Regional	Bathylagus antarcticus	Limacina helicina 
Regional	Bathylagus antarcticus	Coelenterata
Regional	Bathylagus antarcticus	Pelagobia longicirrata
Regional	Bathylagus antarcticus	Eukrohnia hamata
Regional	Bathylagus antarcticus	Sagitta marri
Regional	Notolepis coatsi	Copepoda
Regional	Notolepis coatsi	Oithona sp.
Regional	Notolepis coatsi	Oncaea sp.
Regional	Notolepis coatsi	Euchaeta antarctica
Regional	Notolepis coatsi	Metridia gerlachei
Regional	Notolepis coatsi	Notocrangon antarcticus
Regional	Notolepis coatsi	Euphausia superba
Regional	Notolepis coatsi	Limacina helicina 
Regional	Notolepis coatsi	Coelenterata
Regional	Notolepis coatsi	Pelagobia longicirrata
Regional	Notolepis coatsi	Eukrohnia hamata
Regional	Notolepis coatsi	Sagitta marri
Regional	Notolepis coatsi	Salpa thompsoni
Regional	Gymnoscopelus braueri	Euchaeta antarctica
Regional	Gymnoscopelus braueri	Metridia gerlachei
Regional	Gymnoscopelus braueri	Zooplankton
Regional	Gymnoscopelus braueri	Euphausia superba
Regional	Gymnoscopelus braueri	Limacina helicina 
Regional	Gymnoscopelus braueri	Coelenterata
Regional	Gymnoscopelus braueri	Pelagobia longicirrata
Regional	Gymnoscopelus braueri	Eukrohnia hamata
Regional	Gymnoscopelus braueri	Sagitta marri
Regional	Gymnoscopelus braueri	Salpa thompsoni
Regional	Gymnoscopelus braueri	Copepoda
Regional	Gymnoscopelus braueri	Cyllopus lucasii
Regional	Gymnoscopelus braueri	Clio pyramidata
Regional	Gymnoscopelus opisthopterus	Metridia gerlachei
Regional	Gymnoscopelus opisthopterus	Zooplankton
Regional	Gymnoscopelus opisthopterus	Euphausia superba
Regional	Gymnoscopelus opisthopterus	Limacina helicina 
Regional	Gymnoscopelus opisthopterus	Coelenterata
Regional	Gymnoscopelus opisthopterus	Pelagobia longicirrata
Regional	Gymnoscopelus opisthopterus	Eukrohnia hamata
Regional	Gymnoscopelus opisthopterus	Sagitta marri
Regional	Gymnoscopelus opisthopterus	Salpa thompsoni
Regional	Gymnoscopelus opisthopterus	Copepoda
Regional	Gymnoscopelus opisthopterus	Cyllopus lucasii
Regional	Gymnoscopelus opisthopterus	Clio pyramidata
Regional	Gymnoscopelus opisthopterus	Oithona sp.
Regional	Gymnoscopelus nicholsi	Amphipoda
Regional	Gymnoscopelus nicholsi	Chaetognatha
Regional	Gymnoscopelus nicholsi	Copepoda
Regional	Gymnoscopelus nicholsi	Calanus propinquus
Regional	Gymnoscopelus nicholsi	Oncaea sp.
Regional	Gymnoscopelus nicholsi	Metridia gerlachei
Regional	Gymnoscopelus nicholsi	Euchaeta antarctica
Regional	Gymnoscopelus nicholsi	Rhincalanus gigas
Regional	Gymnoscopelus nicholsi	Euphausiacea
Regional	Gymnoscopelus nicholsi	Euphausia frigida
Regional	Gymnoscopelus nicholsi	Euphausia superba
Regional	Gymnoscopelus nicholsi	Thysanoessa macrura
Regional	Gymnoscopelus nicholsi	Ostracoda
Regional	Gymnoscopelus nicholsi	Fish
Regional	Gymnoscopelus nicholsi	Protomyctophum bolini
Regional	Gymnoscopelus nicholsi	Euphausia crystallorophias
Regional	Protomyctophum bolini	Copepoda
Regional	Protomyctophum bolini	Calanus propinquus
Regional	Protomyctophum bolini	Oncaea sp.
Regional	Protomyctophum bolini	Metridia gerlachei
Regional	Protomyctophum bolini	Euchaeta antarctica
Regional	Protomyctophum bolini	Rhincalanus gigas
Regional	Protomyctophum bolini	Euphausiacea
Regional	Protomyctophum bolini	Chaetognatha
Regional	Protomyctophum bolini	Gastropoda
Regional	Protomyctophum bolini	Thysanoessa macrura
Regional	Protomyctophum bolini	Ostracoda
Regional	Fulmarus glacialoides	Euphausia superba
Regional	Fulmarus glacialoides	Notocrangon antarcticus
Regional	Fulmarus glacialoides	Cyllopus lucasii
Regional	Fulmarus glacialoides	Vibilia antarctica
Regional	Fulmarus glacialoides	Vibilia stebbingi
Regional	Fulmarus glacialoides	Amphipoda
Regional	Fulmarus glacialoides	Eurythenes gryllus
Regional	Fulmarus glacialoides	Crustacea
Regional	Fulmarus glacialoides	Electrona antarctica
Regional	Fulmarus glacialoides	Gymnoscopelus opisthopterus
Regional	Fulmarus glacialoides	Gymnoscopelus braueri
Regional	Fulmarus glacialoides	Notolepis coatsi
Regional	Fulmarus glacialoides	Protomyctophum bolini
Regional	Fulmarus glacialoides	Fish
Regional	Fulmarus glacialoides	Galiteuthis glacialis
Regional	Fulmarus glacialoides	Gonatus antarcticus
Regional	Fulmarus glacialoides	Psychroteuthis glacialis
Regional	Fulmarus glacialoides	Salpa thompsoni
Regional	Thalassoica antarctica	Euphausia superba
Regional	Thalassoica antarctica	Notocrangon antarcticus
Regional	Thalassoica antarctica	Cyllopus lucasii
Regional	Thalassoica antarctica	Vibilia antarctica
Regional	Thalassoica antarctica	Vibilia stebbingi
Regional	Thalassoica antarctica	Amphipoda
Regional	Thalassoica antarctica	Eurythenes gryllus
Regional	Thalassoica antarctica	Crustacea
Regional	Thalassoica antarctica	Electrona antarctica
Regional	Thalassoica antarctica	Gymnoscopelus braueri
Regional	Thalassoica antarctica	Gymnoscopelus nicholsi
Regional	Thalassoica antarctica	Gymnoscopelus opisthopterus
Regional	Thalassoica antarctica	Notolepis coatsi
Regional	Thalassoica antarctica	Protomyctophum bolini
Regional	Thalassoica antarctica	Fish
Regional	Thalassoica antarctica	Galiteuthis glacialis
Regional	Thalassoica antarctica	Gonatus antarcticus
Regional	Thalassoica antarctica	Psychroteuthis glacialis
Regional	Thalassoica antarctica	Detritus
Regional	Halobaena caerulea	Euphausia superba
Regional	Halobaena caerulea	Euphausia frigida
Regional	Halobaena caerulea	Thysanoessa macrura
Regional	Halobaena caerulea	Notocrangon antarcticus
Regional	Halobaena caerulea	Cyllopus lucasii
Regional	Halobaena caerulea	Vibilia antarctica
Regional	Halobaena caerulea	Vibilia stebbingi
Regional	Halobaena caerulea	Amphipoda
Regional	Halobaena caerulea	Eurythenes gryllus
Regional	Halobaena caerulea	Crustacea
Regional	Halobaena caerulea	Electrona antarctica
Regional	Halobaena caerulea	Gymnoscopelus opisthopterus
Regional	Halobaena caerulea	Gymnoscopelus braueri
Regional	Halobaena caerulea	Notolepis coatsi
Regional	Halobaena caerulea	Protomyctophum bolini
Regional	Halobaena caerulea	Fish
Regional	Halobaena caerulea	Pteropoda
Regional	Halobaena caerulea	Salpa thompsoni
Regional	Halobaena caerulea	Detritus
Regional	Daption capense	Euphausia superba
Regional	Daption capense	Notocrangon antarcticus
Regional	Daption capense	Cyllopus lucasii
Regional	Daption capense	Vibilia antarctica
Regional	Daption capense	Vibilia stebbingi
Regional	Daption capense	Amphipoda
Regional	Daption capense	Electrona antarctica
Regional	Daption capense	Gymnoscopelus nicholsi
Regional	Daption capense	Gymnoscopelus braueri
Regional	Daption capense	Gymnoscopelus opisthopterus
Regional	Daption capense	Notolepis coatsi
Regional	Daption capense	Protomyctophum bolini
Regional	Daption capense	Fish
Regional	Daption capense	Galiteuthis glacialis
Regional	Daption capense	Gonatus antarcticus
Regional	Daption capense	Psychroteuthis glacialis
Regional	Daption capense	Salpa thompsoni
Regional	Pagodroma nivea	Euphausia superba
Regional	Pagodroma nivea	Notocrangon antarcticus
Regional	Pagodroma nivea	Cyllopus lucasii
Regional	Pagodroma nivea	Vibilia antarctica
Regional	Pagodroma nivea	Vibilia stebbingi
Regional	Pagodroma nivea	Eurythenes gryllus
Regional	Pagodroma nivea	Crustacea
Regional	Pagodroma nivea	Electrona antarctica
Regional	Pagodroma nivea	Gymnoscopelus braueri
Regional	Pagodroma nivea	Notolepis coatsi
Regional	Pagodroma nivea	Protomyctophum bolini
Regional	Pagodroma nivea	Fish
Regional	Pagodroma nivea	Galiteuthis glacialis
Regional	Pagodroma nivea	Psychroteuthis glacialis
Regional	Pagodroma nivea	Detritus
Regional	Pterodroma brevirostris	Euphausia superba
Regional	Pterodroma brevirostris	Notocrangon antarcticus
Regional	Pterodroma brevirostris	Cyllopus lucasii
Regional	Pterodroma brevirostris	Vibilia antarctica
Regional	Pterodroma brevirostris	Eurythenes gryllus
Regional	Pterodroma brevirostris	Electrona antarctica
Regional	Pterodroma brevirostris	Gymnoscopelus braueri
Regional	Pterodroma brevirostris	Notolepis coatsi
Regional	Pterodroma brevirostris	Protomyctophum bolini
Regional	Pterodroma brevirostris	Fish
Regional	Pterodroma brevirostris	Galiteuthis glacialis
Regional	Macronectes halli	Nototheniidae
Regional	Macronectes halli	Galiteuthis glacialis
Regional	Macronectes halli	Gonatus antarcticus
Regional	Macronectes halli	Kondakovia longimama
